case_study,scenario,unit_process,recovery,reference
san_luis,baseline,abmet_intermediate_pump,0.9999,Defined based on the San Luis case study data.
default,,abmet_intermediate_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,abmet_interstage_pump,0.9999,Defined based on the San Luis case study data.
default,,abmet_interstage_pump,0.9999,Defined based on the San Luis case study data.
pulp_and_paper,baseline,aeration_basin,0.9999,Defined based on the Pulp and Paper case study data.
default,,aeration_basin1,0.9999,
default,,aeration_basin2,0.9999,
default,,aeration_tank,0.9999,Defined based on the Iron and Steel case study data.
iron_and_steel_b,baseline,aeration_tank,0.9999,Defined based on the Iron and Steel case study data.
heap_leaching,baseline,agglom_stacking,0.9999,Heap leaching (gold/copper) case study.
default,,agglom_stacking,0.9999,
default,,agriculture,0.99999,
default,,air_flotation,0.9999,
default,,ammonia_addition,0.9999,Based on costs for AQUA AMMONIA FEED 29% SOLUTION Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,,anaerobic_digestion_oxidation,0.9999,Beef Processing case study. 
default,,anion_exchange,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,,anion_exchange_epa,calculated,No specific references were identified. Costs are based on seemingly comparable addition systems. 
default,,anti_oxidant_addition,0.9999,Based on costs for Sulfuric Acid Addition from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,,anti_scalant_addition,0.9999,Based on costs for Solids Handling in Table 5.7.1 in Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura). Recovery is an assumption considering recovered solids will have moisture content.
default,,backwash_solids_handling,0.95,Texas Water Development Board IT3PR User Manual
san_luis,baseline,bio_active_filtration,0.99,Defined based on the San Luis case study data.
default,,bio_active_filtration,0.99,Defined based on the San Luis case study data.
default,,bioreactor,0.97,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor,0.97,Defined based on the San Luis case study data.
default,,bioreactor_bw_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_bw_pump,0.9999,Defined based on the San Luis case study data.
default,,bioreactor_effluent_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_effluent_pump,0.9999,Defined based on the San Luis case study data.
default,,bioreactor_feed_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_feed_pump,0.9999,Defined based on the San Luis case study data.
default,,blending_reservoir,0.999,
default,,brine_concentrator,0.9,Survey of High-Recovery and Zero Liquid Discharge Technologies for Water Utilities (2008).
default,,brine_ro,calculated,
default,,buffer_tank,0.9999,Texas Water Development Board IT3PR User Manual
default,,cartridge_filtration,0.9999,Defined based on the Carlsbad case study data.
default,,cartridge_filtration_with_backflush,0.9,Texas Water Development Board IT3PR User Manual
default,,cas,0.9999,Texas Water Development Board IT3PR User Manual
default,,cas_denitrif,0.9999,Texas Water Development Board IT3PR User Manual
default,,cas_nitrif,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,,cation_exchange,0.9999,Based on costs for Sodium Hydroxide Feed from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,,caustic_soda_addition,0.9999,
default,,chemical_addition,0.9999,Texas Water Development Board IT3PR User Manual
default,,chlorination,0.9999,Based on costs for Chlorine Storage and Feed from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,,chlorine_addition_cylinder,0.9999,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses. "
